"","date","implied_hurst","implied_ac1"
"102",1996-05-29,0.493896739949616,-0.00842522218657671
"103",1996-05-30,0.522847168666495,0.0321798251849017
"104",1996-05-31,0.512750531614234,0.0178331349221654
"105",1996-06-03,0.506371147297884,0.00887140529450603
"106",1996-06-04,0.514041718359089,0.0196566520402877
"107",1996-06-05,0.517795797244352,0.0249770410577659
"108",1996-06-06,0.507394308522189,0.0103034064919829
"109",1996-06-07,0.518058727968251,0.0253507126510455
"110",1996-06-10,0.506107049197806,0.00850210721643019
"111",1996-06-11,0.506278206649418,0.00874142755183471
"112",1996-06-12,0.506978262537791,0.00972086968318253
"113",1996-06-13,0.50059415953065,0.000824019324478842
"114",1996-06-14,0.499658945645295,-0.000472689975638652
"115",1996-06-17,0.499561301781238,-0.000607979972134465
"116",1996-06-18,0.502153075123516,0.00298925484132528
